site_id,regime,soil_moisture_frac,surface_elevation_cm,distance_to_water_m,vegetation_height_cm,canopy_cover_pct,greenness_index,plant_wetness_score,belowground_carbon_Mg_ha
S0259,prairie_mesic,0.4119,81.4,37.45,102.77,60.6,0.5602,2.7,65.36
S0260,wetland_saturated,0.9439,56.55,0.0,106.79,87.82,0.9426,4.6,222.35
S0261,wetland_saturated,0.7046,56.96,0.0,53.53,46.19,0.5197,3.7,75.97
S0262,wetland_saturated,0.8749,50.78,0.0,103.69,96.84,0.8875,5.0,175.54
S0263,prairie_mesic,0.3259,81.82,69.74,74.38,78.89,0.4714,2.1,54.73
S0264,wetland_saturated,0.6117,57.19,24.86,45.05,38.35,0.5332,3.7,35.12
S0265,prairie_mesic,0.1014,129.42,79.38,32.04,17.39,0.2924,1.1,19.76
S0266,prairie_mesic,0.2909,93.2,95.09,82.11,67.0,0.3981,2.2,48.4
S0267,prairie_mesic,0.196,95.9,75.59,46.5,45.7,0.4872,2.3,33.63
S0268,prairie_mesic,0.1145,127.05,104.13,31.2,55.25,0.2748,1.0,19.86
S0269,wetland_saturated,0.8623,55.02,13.64,75.71,68.87,0.9127,4.2,152.03
S0270,prairie_mesic,0.3834,73.8,67.21,78.79,70.31,0.5029,2.7,58.83
S0271,wetland_saturated,0.8084,70.66,0.0,84.01,62.4,0.599,3.6,99.58
S0272,wetland_saturated,0.8627,55.44,1.06,103.08,84.67,0.8093,4.3,126.02
S0273,wetland_saturated,0.7627,53.35,0.0,100.37,55.21,0.7216,4.1,70.44
S0274,prairie_mesic,0.1646,109.33,125.7,33.7,52.9,0.2983,1.9,31.3
S0275,wetland_saturated,0.7616,70.61,0.0,85.63,54.53,0.6981,4.3,81.94
S0276,prairie_mesic,0.1222,120.55,86.23,10.55,13.01,0.3425,1.0,16.89
S0277,wetland_saturated,0.5842,63.31,37.06,33.86,44.37,0.3879,3.0,44.81
S0278,prairie_mesic,0.1659,120.71,72.99,47.65,10.09,0.3334,1.3,20.21
S0279,prairie_mesic,0.1006,115.35,122.67,42.28,34.27,0.2374,1.0,12.28
S0280,wetland_saturated,0.8939,81.58,39.82,111.95,75.44,0.7068,4.5,156.95
S0281,wetland_saturated,0.9529,54.86,0.0,125.62,97.15,0.7995,5.0,200.37
S0282,wetland_saturated,0.6326,35.6,15.99,45.83,80.12,0.5769,3.8,79.98
S0283,wetland_saturated,0.8978,65.1,0.0,118.49,62.76,0.8506,4.9,137.65
S0284,prairie_mesic,0.29,110.44,54.54,83.84,55.74,0.4073,2.6,49.77
S0285,wetland_saturated,0.9468,69.32,0.0,103.27,89.27,0.933,4.6,209.44
S0286,prairie_mesic,0.4194,110.89,45.7,96.1,61.79,0.5954,2.8,69.93
S0287,wetland_saturated,0.839,50.07,9.57,99.3,73.25,0.7362,3.8,127.8
S0288,wetland_saturated,0.7728,69.74,18.0,97.72,56.89,0.6266,4.5,94.2
S0289,wetland_saturated,0.9227,46.5,7.74,117.33,100.0,0.9136,5.0,197.33
S0290,prairie_mesic,0.1312,123.73,98.4,42.23,38.52,0.3656,1.0,3.75
S0291,wetland_saturated,0.6685,44.9,15.65,65.83,56.5,0.6207,3.4,69.74
S0292,prairie_mesic,0.1149,115.65,115.3,4.0,2.91,0.2295,1.2,11.85
S0293,prairie_mesic,0.1763,103.51,91.46,18.05,38.69,0.4277,1.5,25.09
S0294,wetland_saturated,0.8899,68.42,16.06,127.97,75.14,0.8806,4.8,179.58
S0295,wetland_saturated,0.689,68.15,45.45,77.6,43.05,0.5587,3.7,67.5
S0296,wetland_saturated,0.6209,70.19,24.57,53.95,47.53,0.4517,3.1,44.66
S0297,prairie_mesic,0.3137,76.04,44.05,71.96,37.79,0.405,2.1,54.68
S0298,prairie_mesic,0.3427,85.75,49.4,75.38,79.76,0.4386,2.0,58.85
S0299,wetland_saturated,0.8865,49.54,0.0,124.16,71.43,0.9018,4.7,185.62
S0300,prairie_mesic,0.078,132.66,117.25,6.17,1.63,0.2162,1.0,4.24
S0301,wetland_saturated,0.8603,74.02,9.05,126.35,82.42,0.7319,4.0,152.23
