Row	Year	Week	N. Hemisphere	Eurasia	N. America	N. America (no Greenland)
62	2025	5	43.03	26.20	16.83	14.68
63	2025	4	44.58	27.04	17.54	15.39
64	2025	3	43.66	26.06	17.60	15.45
65	2025	2	47.34	28.79	18.56	16.41
66	2025	1	45.68	27.61	18.07	15.92
67	2024	52	42.50	26.55	15.95	13.80
68	2024	51	43.10	26.57	16.54	14.39
69	2024	50	44.75	28.77	15.97	13.82
70	2024	49	40.71	24.81	15.90	13.75
71	2024	48	40.77	24.06	16.71	14.56
72	2024	47	40.22	25.03	15.18	13.03
73	2024	46	32.09	19.77	12.32	10.17
74	2024	45	29.68	17.90	11.78	9.63
75	2024	44	27.92	16.93	10.99	8.84
76	2024	43	22.32	11.97	10.35	8.20
77	2024	42	20.72	12.31	8.41	6.26
78	2024	41	17.66	12.14	5.52	3.37
79	2024	40	10.96	6.20	4.76	2.61
80	2024	39	8.00	4.23	3.76	1.61
81	2024	38	4.83	1.84	2.98	0.84
82	2024	37	4.27	1.44	2.83	0.68
83	2024	36	3.32	0.53	2.79	0.64
84	2024	35	2.78	0.15	2.63	0.56
85	2024	34	2.67	0.12	2.54	0.44
86	2024	33	2.54	0.12	2.42	0.40
87	2024	32	2.54	0.12	2.42	0.40
88	2024	31	2.54	0.12	2.42	0.40
89	2024	30	2.64	0.18	2.46	0.39
90	2024	29	2.64	0.18	2.46	0.39
91	2024	28	2.71	0.22	2.50	0.43
92	2024	27	2.91	0.22	2.69	0.62
93	2024	26	4.15	0.53	3.61	1.46
94	2024	25	5.26	1.20	4.06	1.91
95	2024	24	6.67	1.95	4.71	2.56
96	2024	23	8.27	3.22	5.05	2.91
97	2024	22	10.44	4.60	5.84	3.69
98	2024	21	14.43	7.45	6.98	4.83
99	2024	20	17.49	9.31	8.19	6.04
100	2024	19	19.43	10.42	9.01	6.86
101	2024	18	21.63	11.91	9.72	7.57
102	2024	17	24.16	13.57	10.59	8.44
103	2024	16	26.83	15.15	11.68	9.53
104	2024	15	27.56	15.94	11.62	9.48
105	2024	14	32.54	18.70	13.84	11.69
106	2024	13	35.13	20.46	14.67	12.52
107	2024	12	38.67	22.61	16.06	13.91
108	2024	11	37.89	23.49	14.41	12.26
109	2024	10	39.48	24.56	14.92	12.77
110	2024	9	41.54	25.80	15.74	13.59
111	2024	8	42.78	27.91	14.87	12.72
112	2024	7	43.41	26.78	16.64	14.49
113	2024	6	44.32	27.61	16.71	14.56
114	2024	5	46.66	31.25	15.41	13.26
115	2024	4	45.03	28.37	16.66	14.51
116	2024	3	48.16	29.70	18.46	16.31
117	2024	2	48.67	29.35	19.32	17.17
118	2024	1	46.61	28.12	18.49	16.34
119	2023	52	40.93	25.87	15.07	12.92
120	2023	51	43.04	27.94	15.10	12.95
121	2023	50	44.19	29.68	14.51	12.36
122	2023	49	42.94	27.72	15.21	13.06
123	2023	48	39.90	25.15	14.75	12.60
124	2023	47	40.75	24.73	16.02	13.87
125	2023	46	35.23	22.14	13.08	10.93
126	2023	45	32.22	19.68	12.54	10.39
127	2023	44	31.78	19.73	12.05	9.90
128	2023	43	29.79	16.57	13.22	11.07
129	2023	42	19.67	11.76	7.91	5.77
130	2023	41	14.96	9.24	5.72	3.57
131	2023	40	11.17	5.07	6.09	3.94
132	2023	39	9.70	4.86	4.84	2.69
133	2023	38	6.11	2.19	3.92	1.81
134	2023	37	4.34	1.09	3.25	1.14
135	2023	36	3.62	0.36	3.26	1.15
136	2023	35	3.32	0.29	3.03	0.96
137	2023	34	2.78	0.20	2.57	0.67
138	2023	33	2.33	0.15	2.18	0.24
139	2023	32	2.37	0.15	2.22	0.23
140	2023	31	2.45	0.15	2.31	0.28
141	2023	30	2.57	0.15	2.42	0.39
142	2023	29	2.63	0.17	2.46	0.43
143	2023	28	2.72	0.23	2.50	0.43
144	2023	27	3.02	0.29	2.73	0.71
145	2023	26	3.45	0.29	3.16	1.01
146	2023	25	4.54	0.75	3.79	1.64
147	2023	24	6.18	1.78	4.40	2.25
148	2023	23	6.77	2.26	4.51	2.36
149	2023	22	8.50	3.54	4.96	2.81
150	2023	21	11.77	6.21	5.55	3.40
151	2023	20	15.22	8.35	6.87	4.72
152	2023	19	19.10	10.91	8.19	6.04
153	2023	18	21.97	12.55	9.42	7.27
154	2023	17	25.65	14.12	11.53	9.38
155	2023	16	28.38	15.14	13.24	11.09
156	2023	15	30.44	16.50	13.95	11.80
157	2023	14	33.12	17.61	15.51	13.36
158	2023	13	36.88	20.36	16.52	14.37
159	2023	12	37.32	20.66	16.66	14.51
160	2023	11	38.97	22.29	16.69	14.54
161	2023	10	40.76	23.31	17.45	15.30
162	2023	9	41.66	24.16	17.50	15.35
163	2023	8	45.33	27.51	17.83	15.68
164	2023	7	44.25	27.29	16.96	14.81
165	2023	6	47.09	30.21	16.88	14.73
166	2023	5	46.15	28.54	17.62	15.47
167	2023	4	46.66	28.46	18.20	16.05
168	2023	3	47.77	29.38	18.39	16.24
169	2023	2	47.51	30.37	17.13	14.98
170	2023	1	44.15	27.08	17.07	14.92
171	2022	52	42.55	25.43	17.12	14.97
172	2022	51	44.36	25.91	18.45	16.30
173	2022	50	44.68	26.90	17.78	15.63
174	2022	49	43.90	26.64	17.27	15.12
175	2022	48	41.33	25.24	16.09	13.94
176	2022	47	39.99	24.72	15.28	13.13
177	2022	46	40.98	24.68	16.30	14.15
178	2022	45	36.26	20.45	15.81	13.66
179	2022	44	32.72	19.34	13.38	11.23
180	2022	43	25.97	15.94	10.03	7.88
181	2022	42	20.27	11.48	8.79	6.64
182	2022	41	17.00	9.17	7.84	5.69
183	2022	40	14.29	8.23	6.06	3.91
184	2022	39	11.64	6.48	5.16	3.01
185	2022	38	9.33	4.94	4.39	2.24
186	2022	37	4.25	1.27	2.98	0.87
187	2022	36	3.04	0.58	2.46	0.44
188	2022	35	2.97	0.43	2.54	0.51
189	2022	34	2.41	0.15	2.26	0.28
190	2022	33	2.39	0.12	2.26	0.28
191	2022	32	2.46	0.12	2.34	0.36
192	2022	31	2.38	0.12	2.26	0.27
193	2022	30	2.42	0.12	2.30	0.32
194	2022	29	2.38	0.12	2.26	0.28
195	2022	28	2.74	0.16	2.58	0.43
196	2022	27	2.84	0.19	2.65	0.50
197	2022	26	3.12	0.22	2.91	0.76
198	2022	25	4.38	0.58	3.80	1.65
199	2022	24	4.85	0.78	4.06	1.91
200	2022	23	5.72	1.06	4.66	2.51
201	2022	22	8.56	2.61	5.95	3.80
202	2022	21	12.97	5.49	7.48	5.33
203	2022	20	14.97	6.54	8.43	6.28
204	2022	19	19.47	9.63	9.84	7.69
205	2022	18	23.47	12.06	11.41	9.26
206	2022	17	25.73	13.16	12.58	10.43
207	2022	16	29.07	15.25	13.82	11.67
208	2022	15	31.27	16.33	14.93	12.78
209	2022	14	33.11	18.92	14.19	12.04
210	2022	13	35.84	21.73	14.10	11.96
211	2022	12	37.46	22.72	14.74	12.59
212	2022	11	39.46	24.54	14.92	12.77
213	2022	10	41.10	24.86	16.24	14.09
214	2022	9	43.88	26.53	17.35	15.20
215	2022	8	43.24	26.64	16.60	14.45
216	2022	7	45.69	28.80	16.90	14.75
217	2022	6	46.35	29.96	16.39	14.24
218	2022	5	47.83	30.59	17.24	15.09
219	2022	4	48.23	31.14	17.10	14.95
220	2022	3	48.62	31.29	17.33	15.18
221	2022	2	46.59	28.77	17.81	15.67
222	2022	1	45.89	28.30	17.59	15.44
223	2021	53	46.81	27.88	18.93	16.78
224	2021	52	47.88	30.49	17.39	15.24
225	2021	51	43.89	26.71	17.18	15.03
226	2021	50	43.05	26.95	16.11	13.96
227	2021	49	41.45	26.31	15.14	13.00
228	2021	48	39.55	24.97	14.58	12.43
229	2021	47	37.49	23.80	13.68	11.53
230	2021	46	34.68	21.28	13.41	11.26
231	2021	45	30.78	20.59	10.18	8.03
232	2021	44	24.52	14.80	9.72	7.57
233	2021	43	20.43	13.05	7.38	5.23
234	2021	42	18.73	11.12	7.61	5.46
235	2021	41	14.17	7.44	6.73	4.58
236	2021	40	10.41	5.10	5.32	3.17
237	2021	39	7.89	2.60	5.30	3.15
238	2021	38	4.90	0.87	4.02	1.88
239	2021	37	3.91	0.61	3.30	1.15
240	2021	36	3.29	0.26	3.03	0.96
241	2021	35	2.73	0.15	2.58	0.51
242	2021	34	2.51	0.12	2.38	0.32
243	2021	33	2.44	0.18	2.26	0.27
244	2021	32	2.41	0.15	2.26	0.27
245	2021	31	2.45	0.15	2.30	0.32
246	2021	30	2.54	0.12	2.42	0.39
247	2021	29	2.67	0.17	2.49	0.47
248	2021	28	2.95	0.27	2.68	0.58
249	2021	27	3.57	0.27	3.30	1.19
250	2021	26	4.74	0.36	4.38	2.23
251	2021	25	5.02	0.61	4.42	2.31
252	2021	24	6.90	1.51	5.39	3.24
253	2021	23	8.79	2.50	6.29	4.14
254	2021	22	11.37	4.48	6.89	4.74
255	2021	21	14.42	6.61	7.81	5.66
256	2021	20	16.93	8.14	8.78	6.63
257	2021	19	18.94	9.14	9.80	7.65
258	2021	18	23.59	12.54	11.05	8.90
259	2021	17	25.79	14.14	11.65	9.50
260	2021	16	28.85	16.05	12.80	10.65
261	2021	15	31.50	18.55	12.95	10.80
262	2021	14	33.57	20.61	12.97	10.82
263	2021	13	35.51	21.21	14.30	12.15
264	2021	12	38.14	23.84	14.30	12.16
265	2021	11	40.78	25.09	15.68	13.53
266	2021	10	40.71	25.05	15.66	13.51
267	2021	9	43.46	26.69	16.77	14.62
268	2021	8	45.44	27.15	18.29	16.14
269	2021	7	48.67	28.54	20.14	17.99
270	2021	6	46.28	28.13	18.16	16.01
271	2021	5	46.56	28.37	18.19	16.04
272	2021	4	47.15	29.24	17.92	15.77
273	2021	3	47.11	29.99	17.12	14.97
274	2021	2	47.04	29.42	17.62	15.47
275	2021	1	45.26	27.88	17.38	15.23
276	2020	52	45.35	28.34	17.02	14.87
277	2020	51	43.01	26.43	16.58	14.43
278	2020	50	45.14	27.60	17.54	15.39
279	2020	49	40.62	26.14	14.48	12.33
280	2020	48	41.62	26.83	14.79	12.64
281	2020	47	41.24	26.45	14.80	12.65
282	2020	46	33.95	19.14	14.81	12.66
283	2020	45	29.99	16.13	13.86	11.71
284	2020	44	25.84	13.93	11.91	9.76
285	2020	43	29.23	14.22	15.01	12.86
286	2020	42	22.65	12.32	10.33	8.18
287	2020	41	16.11	8.40	7.71	5.56
288	2020	40	10.47	5.10	5.37	3.22
289	2020	39	4.98	0.45	4.53	2.38
290	2020	38	4.33	0.21	4.12	1.97
291	2020	37	4.12	0.19	3.94	1.79
292	2020	36	2.80	0.12	2.67	0.56
293	2020	35	2.70	0.15	2.55	0.45
294	2020	34	2.14	0.04	2.10	0.16
295	2020	33	2.21	0.07	2.14	0.20
296	2020	32	2.18	0.04	2.14	0.20
297	2020	31	2.10	0.04	2.06	0.12
298	2020	30	2.37	0.15	2.22	0.24
299	2020	29	2.37	0.15	2.22	0.20
300	2020	28	2.50	0.16	2.34	0.31
301	2020	27	2.58	0.16	2.42	0.39
302	2020	26	3.41	0.50	2.91	0.88
303	2020	25	4.74	0.37	4.37	2.26
304	2020	24	6.75	0.91	5.85	3.70
305	2020	23	8.72	2.48	6.24	4.09
306	2020	22	11.19	3.83	7.37	5.22
307	2020	21	13.53	5.46	8.07	5.92
308	2020	20	17.24	8.08	9.16	7.01
309	2020	19	20.16	10.11	10.05	7.90
310	2020	18	23.22	11.60	11.62	9.47
311	2020	17	26.45	13.64	12.81	10.66
312	2020	16	28.73	14.95	13.78	11.63
313	2020	15	31.74	16.26	15.48	13.33
314	2020	14	32.70	17.89	14.81	12.66
315	2020	13	34.59	19.79	14.79	12.64
316	2020	12	37.68	21.94	15.74	13.59
317	2020	11	38.84	22.55	16.29	14.14
318	2020	10	39.46	23.86	15.60	13.45
319	2020	9	41.18	25.01	16.18	14.03
320	2020	8	41.52	25.12	16.39	14.24
321	2020	7	44.01	27.02	16.99	14.84
322	2020	6	45.75	28.85	16.90	14.75
323	2020	5	45.39	28.10	17.29	15.14
324	2020	4	46.10	28.75	17.35	15.20
325	2020	3	47.61	29.53	18.07	15.92
326	2020	2	47.27	29.67	17.60	15.45
327	2020	1	44.85	27.79	17.05	14.91
328	2019	52	44.76	27.39	17.36	15.21
329	2019	51	42.60	26.22	16.39	14.24
330	2019	50	44.57	26.74	17.83	15.68
331	2019	49	41.61	24.70	16.91	14.76
332	2019	48	43.94	26.13	17.81	15.66
333	2019	47	37.49	23.19	14.30	12.15
334	2019	46	36.03	21.99	14.04	11.89
335	2019	45	35.64	19.77	15.86	13.71
336	2019	44	31.89	18.41	13.48	11.33
337	2019	43	28.69	16.50	12.19	10.04
338	2019	42	23.49	14.29	9.20	7.05
339	2019	41	18.05	9.66	8.39	6.24
340	2019	40	14.63	8.16	6.47	4.32
341	2019	39	8.91	3.52	5.39	3.24
342	2019	38	5.08	1.58	3.50	1.35
343	2019	37	4.66	1.48	3.19	1.04
344	2019	36	2.71	0.16	2.55	0.48
345	2019	35	2.59	0.12	2.47	0.44
346	2019	34	2.49	0.15	2.35	0.32
347	2019	33	2.71	0.24	2.48	0.53
348	2019	32	2.35	0.12	2.22	0.24
349	2019	31	2.37	0.15	2.22	0.24
350	2019	30	2.50	0.24	2.27	0.24
351	2019	29	2.53	0.26	2.27	0.24
352	2019	28	2.58	0.31	2.27	0.24
353	2019	27	2.82	0.47	2.35	0.28
354	2019	26	3.29	0.47	2.82	0.75
355	2019	25	4.33	0.81	3.53	1.42
356	2019	24	5.67	1.53	4.14	1.99
357	2019	23	8.18	2.79	5.40	3.25
358	2019	22	10.38	4.55	5.82	3.68
359	2019	21	13.38	6.19	7.20	5.05
360	2019	20	16.83	8.37	8.46	6.31
361	2019	19	19.44	10.12	9.32	7.17
362	2019	18	23.30	12.09	11.21	9.06
363	2019	17	25.62	13.86	11.76	9.61
364	2019	16	27.39	15.56	11.83	9.68
365	2019	15	29.86	16.38	13.49	11.34
366	2019	14	33.39	19.45	13.94	11.79
367	2019	13	34.67	20.16	14.52	12.37
368	2019	12	37.71	21.96	15.75	13.60
369	2019	11	39.96	23.06	16.90	14.76
370	2019	10	42.04	24.50	17.54	15.39
371	2019	9	44.43	25.55	18.89	16.74
372	2019	8	45.45	27.03	18.42	16.27
373	2019	7	46.73	28.02	18.71	16.56
374	2019	6	46.71	28.38	18.33	16.18
375	2019	5	45.81	28.63	17.18	15.03
376	2019	4	46.16	28.68	17.48	15.33
377	2019	3	48.10	29.71	18.39	16.25
378	2019	2	47.50	29.69	17.81	15.66
379	2019	1	47.78	30.63	17.15	15.00
380	2018	52	47.52	29.70	17.81	15.66
381	2018	51	43.44	27.63	15.81	13.66
382	2018	50	44.38	28.02	16.36	14.21
383	2018	49	43.45	25.76	17.69	15.54
384	2018	48	43.04	25.77	17.28	15.13
385	2018	47	41.62	24.98	16.65	14.50
386	2018	46	38.19	22.41	15.77	13.62
387	2018	45	35.64	19.62	16.02	13.87
388	2018	44	30.64	17.91	12.73	10.58
389	2018	43	27.19	16.91	10.28	8.13
390	2018	42	19.50	10.03	9.47	7.32
391	2018	41	18.61	8.27	10.34	8.19
392	2018	40	13.51	5.32	8.19	6.04
393	2018	39	8.81	2.53	6.28	4.13
394	2018	38	7.31	1.26	6.05	3.90
395	2018	37	6.42	1.27	5.15	3.00
396	2018	36	4.56	0.83	3.73	1.62
397	2018	35	3.37	0.12	3.25	1.14
398	2018	34	2.66	0.20	2.46	0.40
399	2018	33	2.75	0.12	2.62	0.56
400	2018	32	2.55	0.12	2.42	0.36
401	2018	31	2.59	0.12	2.46	0.36
402	2018	30	2.65	0.15	2.50	0.39
403	2018	29	2.78	0.16	2.62	0.51
404	2018	28	3.04	0.23	2.81	0.71
405	2018	27	3.30	0.23	3.07	0.96
406	2018	26	4.17	0.48	3.69	1.54
407	2018	25	5.43	0.78	4.64	2.49
408	2018	24	7.68	2.35	5.32	3.17
409	2018	23	10.22	4.06	6.16	4.01
410	2018	22	12.79	5.81	6.99	4.84
411	2018	21	14.83	7.19	7.64	5.49
412	2018	20	17.25	8.85	8.40	6.25
413	2018	19	19.67	10.04	9.63	7.48
414	2018	18	23.55	12.59	10.96	8.81
415	2018	17	27.69	14.96	12.73	10.58
416	2018	16	29.66	15.67	14.00	11.85
417	2018	15	33.59	17.62	15.97	13.82
418	2018	14	35.63	19.54	16.08	13.94
419	2018	13	37.82	21.51	16.31	14.16
420	2018	12	39.42	22.98	16.44	14.29
421	2018	11	43.23	26.23	17.01	14.86
422	2018	10	42.61	25.60	17.01	14.86
423	2018	9	46.12	29.02	17.10	14.95
424	2018	8	45.78	28.64	17.13	14.98
425	2018	7	46.85	29.19	17.66	15.51
426	2018	6	46.22	28.64	17.58	15.43
427	2018	5	46.40	28.71	17.69	15.54
428	2018	4	48.31	31.25	17.05	14.90
429	2018	3	47.47	29.71	17.76	15.61
430	2018	2	46.51	28.61	17.90	15.76
431	2018	1	46.11	28.49	17.61	15.47
432	2017	52	42.87	25.27	17.60	15.45
433	2017	51	44.94	26.87	18.08	15.93
434	2017	50	43.44	27.48	15.96	13.81
435	2017	49	44.05	27.81	16.24	14.09
436	2017	48	41.54	26.44	15.09	12.94
437	2017	47	38.58	24.48	14.10	11.95
438	2017	46	36.43	21.48	14.95	12.80
439	2017	45	34.19	19.36	14.83	12.68
440	2017	44	31.74	17.06	14.68	12.53
441	2017	43	27.79	17.01	10.78	8.63
442	2017	42	22.60	13.38	9.22	7.07
443	2017	41	19.75	10.08	9.67	7.52
444	2017	40	15.43	8.57	6.86	4.71
445	2017	39	12.59	6.52	6.07	3.92
446	2017	38	6.93	3.18	3.74	1.59
447	2017	37	4.22	0.76	3.46	1.31
448	2017	36	4.14	0.37	3.77	1.62
449	2017	35	3.50	0.28	3.22	1.07
450	2017	34	3.06	0.44	2.62	0.51
451	2017	33	2.77	0.19	2.58	0.47
452	2017	32	2.73	0.19	2.54	0.47
453	2017	31	2.84	0.23	2.62	0.55
454	2017	30	2.92	0.19	2.74	0.67
455	2017	29	3.17	0.32	2.85	0.74
456	2017	28	3.53	0.37	3.16	1.05
457	2017	27	3.79	0.51	3.27	1.13
458	2017	26	4.40	0.77	3.63	1.48
459	2017	25	6.48	1.82	4.66	2.51
460	2017	24	9.33	4.38	4.95	2.80
461	2017	23	11.19	5.72	5.48	3.33
462	2017	22	14.27	8.00	6.27	4.12
463	2017	21	17.61	9.45	8.17	6.02
464	2017	20	19.98	10.28	9.70	7.55
465	2017	19	21.73	11.18	10.55	8.40
466	2017	18	24.49	13.35	11.15	9.00
467	2017	17	27.28	14.32	12.96	10.81
468	2017	16	30.09	16.31	13.78	11.63
469	2017	15	31.71	18.23	13.48	11.33
470	2017	14	33.41	19.57	13.84	11.69
471	2017	13	35.03	20.99	14.04	11.89
472	2017	12	38.18	23.52	14.67	12.52
473	2017	11	40.07	25.01	15.05	12.90
474	2017	10	42.90	25.96	16.94	14.79
475	2017	9	42.29	25.97	16.32	14.17
476	2017	8	44.36	27.48	16.88	14.73
477	2017	7	46.21	30.37	15.84	13.69
478	2017	6	46.72	29.85	16.87	14.72
479	2017	5	47.39	30.00	17.38	15.24
480	2017	4	49.90	31.59	18.31	16.16
481	2017	3	48.83	31.36	17.47	15.32
482	2017	2	48.89	31.08	17.81	15.66
483	2017	1	49.88	31.08	18.80	16.65
484	2016	53	47.24	29.79	17.46	15.31
485	2016	52	46.08	28.19	17.88	15.73
486	2016	51	46.82	28.33	18.49	16.34
487	2016	50	43.82	26.52	17.30	15.15
488	2016	49	42.79	26.02	16.77	14.62
489	2016	48	41.80	25.67	16.13	13.98
490	2016	47	38.71	24.91	13.79	11.64
491	2016	46	33.16	22.85	10.31	8.16
492	2016	45	32.37	22.11	10.26	8.11
493	2016	44	31.48	20.47	11.01	8.86
494	2016	43	25.97	15.21	10.76	8.61
495	2016	42	23.43	13.18	10.25	8.10
496	2016	41	14.98	7.63	7.34	5.20
497	2016	40	13.18	7.23	5.95	3.81
498	2016	39	6.25	2.51	3.74	1.59
499	2016	38	4.54	0.23	4.31	2.16
500	2016	37	3.83	0.16	3.66	1.51
501	2016	36	3.48	0.37	3.11	0.96
502	2016	35	2.78	0.35	2.43	0.44
503	2016	34	2.67	0.12	2.55	0.60
504	2016	33	2.43	0.12	2.30	0.32
505	2016	32	2.43	0.12	2.30	0.32
506	2016	31	2.38	0.12	2.26	0.35
507	2016	30	2.34	0.12	2.22	0.27
508	2016	29	2.45	0.19	2.26	0.32
509	2016	28	2.72	0.26	2.46	0.43
510	2016	27	3.07	0.26	2.81	0.74
511	2016	26	3.75	0.44	3.31	1.25
512	2016	25	5.03	0.83	4.20	2.05
513	2016	24	6.52	1.65	4.87	2.72
514	2016	23	8.51	2.81	5.70	3.55
515	2016	22	12.40	6.12	6.28	4.13
516	2016	21	15.50	7.85	7.65	5.51
517	2016	20	17.35	9.38	7.97	5.82
518	2016	19	19.46	10.51	8.95	6.80
519	2016	18	22.58	12.50	10.08	7.93
520	2016	17	25.11	13.71	11.40	9.25
521	2016	16	27.27	14.62	12.65	10.50
522	2016	15	31.66	17.96	13.70	11.55
523	2016	14	34.08	19.46	14.62	12.47
524	2016	13	34.66	20.28	14.38	12.23
525	2016	12	37.58	23.10	14.48	12.33
526	2016	11	38.36	23.96	14.40	12.25
527	2016	10	39.34	24.27	15.07	12.93
528	2016	9	40.32	25.11	15.21	13.06
529	2016	8	42.96	27.09	15.87	13.72
530	2016	7	45.78	27.91	17.87	15.73
531	2016	6	44.46	26.88	17.59	15.44
532	2016	5	47.07	29.29	17.78	15.63
533	2016	4	50.53	31.86	18.67	16.52
534	2016	3	48.83	30.45	18.38	16.23
535	2016	2	48.49	29.91	18.58	16.43
536	2016	1	48.76	30.60	18.16	16.01
537	2015	52	44.93	26.16	18.77	16.62
538	2015	51	44.11	27.11	17.00	14.85
539	2015	50	44.06	27.40	16.66	14.51
540	2015	49	38.55	24.19	14.36	12.21
541	2015	48	41.59	25.25	16.34	14.19
542	2015	47	40.38	25.27	15.11	12.96
543	2015	46	34.55	21.50	13.05	10.90
544	2015	45	30.35	19.17	11.18	9.03
545	2015	44	29.67	19.08	10.59	8.44
546	2015	43	25.22	15.86	9.37	7.22
547	2015	42	21.04	12.25	8.79	6.64
548	2015	41	17.95	9.75	8.20	6.05
549	2015	40	13.10	6.48	6.62	4.47
550	2015	39	9.23	3.36	5.86	3.71
551	2015	38	5.10	1.14	3.95	1.80
552	2015	37	4.28	0.78	3.50	1.35
553	2015	36	2.76	0.18	2.58	0.47
554	2015	35	2.89	0.12	2.76	0.66
555	2015	34	2.54	0.24	2.30	0.31
556	2015	33	2.42	0.12	2.30	0.31
557	2015	32	2.51	0.12	2.39	0.32
558	2015	31	2.43	0.12	2.30	0.24
559	2015	30	2.45	0.19	2.26	0.24
560	2015	29	2.44	0.21	2.22	0.20
561	2015	28	2.60	0.26	2.34	0.35
562	2015	27	2.67	0.30	2.37	0.39
563	2015	26	3.32	0.54	2.78	0.63
564	2015	25	4.93	0.71	4.22	2.07
565	2015	24	5.50	1.10	4.40	2.25
566	2015	23	7.60	2.69	4.91	2.76
567	2015	22	11.05	5.04	6.02	3.87
568	2015	21	14.27	7.68	6.59	4.44
569	2015	20	17.94	9.28	8.66	6.51
570	2015	19	20.41	10.80	9.61	7.46
571	2015	18	23.09	13.08	10.02	7.87
572	2015	17	25.91	14.15	11.77	9.62
573	2015	16	28.95	16.42	12.53	10.38
574	2015	15	32.09	19.00	13.08	10.93
575	2015	14	37.49	23.03	14.46	12.31
576	2015	13	35.76	21.80	13.95	11.80
577	2015	12	37.82	23.05	14.77	12.62
578	2015	11	37.89	23.14	14.75	12.60
579	2015	10	40.89	24.93	15.96	13.81
580	2015	9	44.33	26.04	18.30	16.15
581	2015	8	45.53	27.48	18.05	15.90
582	2015	7	44.45	27.05	17.40	15.25
583	2015	6	44.88	28.79	16.10	13.95
584	2015	5	47.02	29.69	17.33	15.18
585	2015	4	47.30	30.64	16.66	14.51
586	2015	3	47.15	30.21	16.94	14.79
587	2015	2	47.07	29.20	17.87	15.72
588	2015	1	48.23	29.92	18.31	16.16
589	2014	52	45.45	28.39	17.06	14.91
590	2014	51	43.32	27.12	16.20	14.05
591	2014	50	43.37	26.77	16.60	14.46
592	2014	49	41.57	26.14	15.43	13.28
593	2014	48	40.88	25.06	15.83	13.68
594	2014	47	37.39	22.36	15.03	12.88
595	2014	46	38.12	20.62	17.50	15.35
596	2014	45	33.77	18.74	15.04	12.89
597	2014	44	29.00	17.75	11.25	9.10
598	2014	43	29.21	18.66	10.55	8.40
599	2014	42	24.15	16.24	7.91	5.77
600	2014	41	19.90	12.48	7.42	5.27
601	2014	40	13.32	5.86	7.46	5.31
602	2014	39	11.86	5.64	6.22	4.07
603	2014	38	7.84	2.49	5.35	3.20
604	2014	37	4.84	0.59	4.24	2.09
605	2014	36	4.16	0.41	3.74	1.59
